system,duration_ms,vram_peak_gb,ppl_delta,compression_ratio,prompt_chars,run_idx
apohara,3933.020259000841,3.452035903930664,0.0,2.3777777777777778,726,0
turboquant,232.9370059997018,6.657358646392822,0.0,1.0,726,0
apohara,2860.5853609988117,6.656585216522217,0.0,2.3777777777777778,726,1
turboquant,291.22462600025756,6.656585216522217,0.0,1.0,726,1
